country_iso3,year,hno_cluster,requirements,funding,coverage_pct,funding_gap_pct
UKR,2026,FSC,305517901.0,80941454.0,26.49319523833728,73.50680476166272
SYR,2026,CCM,41283352.0,18097601.0,43.83752801855818,56.16247198144182
NER,2026,CCM,4658995.0,1604446.0,34.43759866666524,65.56240133333476
NER,2026,EDU,61295255.0,6005234.0,9.79722492385422,90.20277507614578
VEN,2026,CCM,7894100.0,2343204.0,29.682978426926436,70.31702157307356
VEN,2026,EDU,75890668.0,3094434.0,4.077489474726985,95.92251052527301
VEN,2026,FSC,124543301.0,30966542.0,24.86407679205484,75.13592320794515
VEN,2026,HEA,162650145.0,9177252.0,5.642326356364453,94.35767364363555
VEN,2026,NUT,32570442.0,1593594.0,4.892761357061104,95.1072386429389
VEN,2026,PRO,104539918.0,10520264.0,10.063394157244316,89.93660584275568
VEN,2026,SHL,0.0,11969.0,0.0,100.0
VEN,2026,WSH,124103398.0,1650309.0,1.3297855067594522,98.67021449324055
NER,2026,FSC,258302012.0,18186554.0,7.040810042161034,92.95918995783896
NER,2026,HEA,36319651.0,5491677.0,15.120401349671559,84.87959865032845
NER,2026,NUT,48867212.0,4022530.0,8.231552068081967,91.76844793191803
NER,2026,PRO,67867393.0,11733477.0,17.288828230075083,82.71117176992492
NER,2026,SHL,36219272.0,3519869.0,9.71822128285737,90.28177871714263
SYR,2026,AGR,0.0,0.0,0.0,100.0
SYR,2026,EDU,337176887.0,21120976.0,6.264064001516213,93.73593599848378
HTI,2026,NUT,40667320.0,6645448.0,16.341003046180568,83.65899695381944
SYR,2026,FSC,982076790.0,68324856.0,6.957180609064186,93.04281939093582
HTI,2026,FSC,423500000.0,83068432.0,19.614741912632823,80.38525808736718
HTI,2026,EDU,61727200.0,5217413.0,8.452372697935433,91.54762730206457
HTI,2026,CCM,23712634.0,5239471.0,22.095693797660772,77.90430620233923
MOZ,2026,EDU,37664726.0,1204705.0,3.1984966517478455,96.80150334825215
MOZ,2026,FSC,223246028.0,38262947.0,17.139362945351035,82.86063705464896
MOZ,2026,HEA,37906706.0,7143836.0,18.845836934499136,81.15416306550087
MOZ,2026,NUT,25742682.0,2206436.0,8.571119357338135,91.42888064266187
MOZ,2026,PRO,67416479.0,20490317.0,30.393632690310035,69.60636730968997
MOZ,2026,SHL,63031143.0,19931807.0,31.622157002610596,68.37784299738941
MOZ,2026,WSH,53871264.0,17847405.0,33.12973127937002,66.87026872062998
SYR,2026,WSH,325267307.0,49934110.0,15.351715012661879,84.64828498733812
SYR,2026,SHL,377688403.0,29201088.0,7.7315288920851515,92.26847110791485
SYR,2026,PRO,252650523.0,69092704.0,27.347144656415374,72.65285534358463
SYR,2026,NUT,125474187.0,15837602.0,12.622199337302739,87.37780066269727
